Company_ID,Fraud_Detection_System,Fraud_Detection_Rate,Fraud_Prevention_Rate,Customer_Trust_Score
CMP-526586,AI-Powered,0.95,0.79,4.88
CMP-770014,Legacy,0.75,0.34,1.98
CMP-416248,Legacy,0.48,0.46,3.18
CMP-359860,Legacy,0.57,0.36,3.23
CMP-826257,Legacy,0.5,0.46,3.07
CMP-342644,AI-Powered,0.84,0.77,4.06
CMP-332843,Hybrid,0.71,0.63,4.09
CMP-252398,Hybrid,0.72,0.5,4.23
CMP-357156,AI-Powered,0.79,0.83,3.98
CMP-724301,AI-Powered,0.83,0.78,4.36
CMP-821256,AI-Powered,0.83,0.77,4.7
CMP-929086,AI-Powered,0.81,0.82,4.37
CMP-434759,AI-Powered,0.86,0.76,4.69
CMP-777318,Hybrid,0.66,0.61,3.66
CMP-973608,Hybrid,0.7,0.6,3.91
CMP-669211,Legacy,0.53,0.37,3.1
CMP-293428,Hybrid,0.64,0.59,3.79
CMP-729036,Hybrid,0.79,0.56,3.73
CMP-862570,Legacy,0.54,0.38,3.26
CMP-525514,Legacy,0.65,0.36,2.92
CMP-616812,AI-Powered,0.86,0.81,5.0
CMP-964483,AI-Powered,0.83,0.81,4.06
CMP-318009,AI-Powered,0.92,0.66,4.5
CMP-149391,Legacy,0.56,0.49,2.5
CMP-816837,AI-Powered,0.84,0.76,3.74
CMP-288677,Hybrid,0.62,0.63,3.79
CMP-383809,Legacy,0.46,0.39,3.7
CMP-642097,Hybrid,0.75,0.54,3.38
CMP-523726,AI-Powered,0.89,0.73,4.25
CMP-123598,Hybrid,0.74,0.58,4.26
CMP-283400,Legacy,0.51,0.45,2.92
CMP-317741,Hybrid,0.79,0.71,4.19
CMP-919987,AI-Powered,0.84,0.78,4.0
CMP-668455,AI-Powered,0.82,0.76,4.55
CMP-901238,Hybrid,0.67,0.6,3.57
CMP-358311,Hybrid,0.64,0.65,3.61
CMP-343110,AI-Powered,0.84,0.86,4.43
CMP-703820,AI-Powered,0.77,0.75,4.18
CMP-114449,Hybrid,0.65,0.63,3.52
CMP-574705,Hybrid,0.72,0.55,3.43
CMP-320094,AI-Powered,0.87,0.72,4.23
CMP-586337,Hybrid,0.58,0.63,3.53
CMP-778977,Hybrid,0.71,0.52,3.81
CMP-822956,AI-Powered,0.98,0.76,4.69
CMP-433067,AI-Powered,0.88,0.73,4.65
CMP-253054,Hybrid,0.72,0.69,4.33
CMP-145918,Hybrid,0.78,0.54,3.36
CMP-634393,Hybrid,0.69,0.47,3.52
CMP-335213,Hybrid,0.8,0.64,3.17
CMP-754934,Hybrid,0.69,0.63,4.78
CMP-448588,Hybrid,0.74,0.58,3.0
CMP-593912,AI-Powered,0.93,0.77,4.69
CMP-615345,AI-Powered,0.77,0.77,4.14
CMP-719232,Hybrid,0.68,0.5,3.27
CMP-362817,Legacy,0.47,0.46,2.01
CMP-569556,AI-Powered,0.78,0.75,4.4
CMP-212277,Hybrid,0.84,0.63,3.51
CMP-250227,AI-Powered,0.92,0.73,4.4
CMP-673138,AI-Powered,0.88,0.81,4.82
CMP-451058,Hybrid,0.67,0.68,3.22
CMP-745986,Hybrid,0.68,0.53,3.74
CMP-506459,AI-Powered,0.93,0.69,3.91
CMP-128847,AI-Powered,0.89,0.72,4.57
CMP-393189,Hybrid,0.59,0.54,4.68
CMP-361164,AI-Powered,0.97,0.77,4.53
CMP-335057,Legacy,0.6,0.45,2.9
CMP-531368,AI-Powered,0.89,0.79,4.83
CMP-509488,Hybrid,0.77,0.57,3.36
CMP-913981,Legacy,0.61,0.47,2.81
CMP-668857,Hybrid,0.62,0.65,3.83
CMP-604604,Legacy,0.67,0.42,2.81
CMP-618721,Hybrid,0.63,0.67,2.9
CMP-933285,AI-Powered,0.87,0.82,4.64
CMP-314475,Legacy,0.52,0.42,3.53
CMP-238586,Hybrid,0.8,0.69,3.88
CMP-660001,Legacy,0.53,0.47,3.03
CMP-687531,Hybrid,0.7,0.59,3.56
CMP-898887,Hybrid,0.68,0.56,4.25
CMP-293352,Hybrid,0.67,0.59,3.9
CMP-630504,AI-Powered,0.8,0.7,4.06
CMP-785814,Legacy,0.48,0.47,2.44
CMP-741325,Hybrid,0.69,0.63,3.35
CMP-423921,Legacy,0.56,0.34,3.93
CMP-450519,Hybrid,0.74,0.63,3.52
CMP-937350,Legacy,0.42,0.42,2.46
CMP-574209,Hybrid,0.7,0.67,3.81
CMP-160253,Legacy,0.65,0.58,3.37
CMP-705453,AI-Powered,0.92,0.77,4.37
CMP-274175,Hybrid,0.71,0.59,4.54
CMP-947785,AI-Powered,0.88,0.71,4.4
CMP-552970,Hybrid,0.73,0.58,4.21
CMP-278472,Legacy,0.72,0.47,2.42
CMP-637155,Hybrid,0.61,0.58,3.41
CMP-827333,AI-Powered,0.83,0.82,4.89
CMP-293727,AI-Powered,0.84,0.81,4.89
CMP-464982,Legacy,0.53,0.31,2.11
CMP-918138,Hybrid,0.64,0.57,4.3
CMP-942025,Hybrid,0.62,0.65,4.15
CMP-534560,Hybrid,0.65,0.5,4.92
CMP-898448,Hybrid,0.81,0.64,3.9
CMP-648869,AI-Powered,0.92,0.79,4.54
CMP-839485,AI-Powered,0.8,0.78,3.88
CMP-553356,AI-Powered,0.87,0.72,4.64
CMP-621857,Hybrid,0.7,0.57,3.95
CMP-503868,AI-Powered,0.87,0.72,4.13
CMP-976002,Hybrid,0.78,0.66,3.84
CMP-574260,Hybrid,0.68,0.59,3.72
CMP-208055,AI-Powered,0.94,0.7,5.0
CMP-287208,AI-Powered,0.76,0.85,4.97
CMP-555795,AI-Powered,0.92,0.79,4.65
CMP-611805,Hybrid,0.76,0.54,4.09
CMP-756156,AI-Powered,0.85,0.77,4.34
CMP-854640,AI-Powered,0.9,0.74,4.5
CMP-277854,AI-Powered,0.84,0.77,4.96
CMP-262760,AI-Powered,0.86,0.73,5.0
CMP-255953,Legacy,0.47,0.32,2.44
CMP-517774,Hybrid,0.78,0.62,4.0
CMP-844948,Hybrid,0.64,0.66,3.62
CMP-794340,Legacy,0.58,0.35,1.67
CMP-483169,Hybrid,0.68,0.57,3.37
CMP-835711,AI-Powered,0.84,0.73,4.59
CMP-495482,Hybrid,0.65,0.57,3.4
CMP-256744,AI-Powered,0.89,0.76,4.31
CMP-819181,Hybrid,0.75,0.59,3.97
CMP-156254,AI-Powered,0.91,0.76,4.29
CMP-507262,Hybrid,0.81,0.78,4.23
CMP-783930,AI-Powered,0.83,0.75,4.45
CMP-299143,Legacy,0.73,0.29,2.21
CMP-915965,Hybrid,0.76,0.68,3.77
CMP-630194,AI-Powered,0.87,0.71,4.48
CMP-339304,AI-Powered,0.86,0.71,4.62
CMP-830277,AI-Powered,0.78,0.74,4.39
CMP-317138,Legacy,0.7,0.46,3.2
CMP-101246,Legacy,0.69,0.41,2.9
CMP-654438,AI-Powered,0.82,0.71,3.88
CMP-581036,Hybrid,0.62,0.62,3.96
CMP-198536,AI-Powered,0.81,0.68,4.16
CMP-607830,Legacy,0.45,0.49,3.04
CMP-254490,Legacy,0.46,0.32,2.46
CMP-792071,AI-Powered,0.92,0.69,4.46
CMP-109304,AI-Powered,0.88,0.71,4.09
CMP-315684,Hybrid,0.73,0.52,4.2
CMP-769033,AI-Powered,0.79,0.79,4.44
CMP-826331,AI-Powered,0.83,0.74,4.66
CMP-564714,Hybrid,0.67,0.53,3.96
CMP-454897,Hybrid,0.66,0.59,4.23
CMP-635392,AI-Powered,0.86,0.76,4.42
CMP-312744,AI-Powered,0.82,0.75,4.48
CMP-953498,Hybrid,0.63,0.55,4.06
CMP-560050,AI-Powered,0.81,0.79,4.65
CMP-432912,Hybrid,0.66,0.55,4.45
CMP-601248,AI-Powered,0.88,0.78,4.49
CMP-208291,AI-Powered,0.8,0.77,4.3
CMP-679730,Hybrid,0.67,0.56,3.56
CMP-157412,AI-Powered,0.88,0.68,4.61
CMP-250398,AI-Powered,0.86,0.71,4.38
CMP-297882,Legacy,0.47,0.53,3.56
CMP-647152,Hybrid,0.64,0.58,4.47
CMP-339003,Legacy,0.58,0.54,2.55
CMP-432421,AI-Powered,0.92,0.83,4.34
CMP-439800,Legacy,0.53,0.41,3.33
CMP-513220,AI-Powered,0.9,0.8,4.77
CMP-678356,AI-Powered,1.0,0.75,4.24
CMP-639566,Hybrid,0.85,0.6,4.36
CMP-588010,AI-Powered,0.88,0.72,4.48
CMP-174784,Legacy,0.54,0.35,2.84
CMP-145700,Hybrid,0.81,0.52,3.62
CMP-607104,AI-Powered,0.84,0.7,4.45
CMP-253464,Hybrid,0.7,0.62,4.47
CMP-122128,Hybrid,0.78,0.69,3.79
CMP-962906,Hybrid,0.73,0.66,3.56
CMP-295630,Hybrid,0.79,0.53,4.34
CMP-406104,Legacy,0.51,0.42,2.54
CMP-910311,AI-Powered,0.78,0.73,4.49
CMP-320252,Hybrid,0.82,0.65,3.95
CMP-731790,Legacy,0.56,0.38,3.38
CMP-317877,Hybrid,0.66,0.56,3.75
CMP-181325,Legacy,0.61,0.47,2.97
CMP-615573,Hybrid,0.79,0.65,4.18
CMP-133972,AI-Powered,0.82,0.77,4.0
CMP-648222,AI-Powered,0.75,0.72,5.0
CMP-459905,AI-Powered,0.87,0.65,4.46
CMP-157139,AI-Powered,0.84,0.82,4.63
CMP-644151,Hybrid,0.68,0.59,4.47
CMP-604635,Hybrid,0.71,0.64,4.12
CMP-201614,Hybrid,0.75,0.72,3.64
CMP-655377,AI-Powered,0.84,0.76,4.6
CMP-834389,Legacy,0.65,0.28,3.32
CMP-150871,AI-Powered,0.89,0.7,4.4
CMP-450778,Hybrid,0.7,0.59,3.76
CMP-681461,AI-Powered,0.88,0.74,3.85
CMP-132091,AI-Powered,0.87,0.7,4.64
CMP-866760,Legacy,0.41,0.4,3.31
CMP-932345,AI-Powered,0.82,0.69,4.42
CMP-226506,Hybrid,0.76,0.61,4.25
CMP-380766,AI-Powered,0.84,0.76,4.21
CMP-341807,Hybrid,0.75,0.57,3.13
CMP-498020,Hybrid,0.73,0.71,4.35
CMP-642442,Hybrid,0.73,0.55,3.48
CMP-104315,Hybrid,0.78,0.58,3.79
CMP-232491,Hybrid,0.61,0.57,3.21
CMP-817906,Hybrid,0.66,0.55,3.72
CMP-518520,Hybrid,0.71,0.62,3.56
CMP-284399,AI-Powered,0.78,0.67,5.0
CMP-700000,Hybrid,0.66,0.62,3.97
CMP-110335,Legacy,0.55,0.39,2.88
CMP-526938,AI-Powered,0.87,0.8,4.39
CMP-532479,AI-Powered,0.8,0.78,4.42
CMP-410252,AI-Powered,0.84,0.73,4.3
CMP-213016,AI-Powered,0.86,0.81,4.03
CMP-646235,Legacy,0.59,0.34,2.84
CMP-663277,Legacy,0.52,0.5,3.21
CMP-105808,Hybrid,0.68,0.6,3.93
CMP-189301,AI-Powered,0.92,0.79,3.54
CMP-228298,Hybrid,0.68,0.68,3.81
CMP-138623,Legacy,0.61,0.38,2.75
CMP-902948,Legacy,0.58,0.24,3.15
CMP-749629,Hybrid,0.77,0.55,3.51
CMP-309156,Legacy,0.52,0.31,2.16
CMP-507157,Hybrid,0.72,0.63,3.58
CMP-174542,AI-Powered,0.75,0.65,4.19
CMP-548449,Hybrid,0.71,0.56,3.95
CMP-554741,Hybrid,0.64,0.68,4.21
CMP-333968,AI-Powered,0.79,0.73,4.69
CMP-768339,Hybrid,0.69,0.68,3.72
CMP-681149,Hybrid,0.75,0.59,3.85
CMP-802993,AI-Powered,0.97,0.71,4.61
CMP-833068,Hybrid,0.73,0.52,3.39
CMP-122789,Legacy,0.45,0.44,2.39
CMP-832743,AI-Powered,0.87,0.79,4.32
CMP-156356,Legacy,0.66,0.36,1.38
CMP-942380,AI-Powered,0.84,0.69,4.25
CMP-690503,Legacy,0.66,0.42,3.28
CMP-285083,AI-Powered,0.95,0.83,4.17
CMP-944675,Hybrid,0.61,0.55,3.55
CMP-452829,Hybrid,0.74,0.49,3.57
CMP-777603,Legacy,0.52,0.33,2.83
CMP-605620,AI-Powered,0.92,0.7,4.91
CMP-806442,AI-Powered,0.81,0.73,4.47
CMP-921745,Hybrid,0.73,0.67,3.92
CMP-976630,Legacy,0.46,0.32,3.28
CMP-854721,AI-Powered,0.81,0.78,4.69
CMP-930349,Hybrid,0.7,0.58,4.14
CMP-962892,AI-Powered,0.87,0.81,4.45
CMP-772907,Legacy,0.55,0.42,2.78
CMP-155494,AI-Powered,0.9,0.71,4.65
CMP-269444,AI-Powered,0.86,0.83,4.25
CMP-970005,AI-Powered,0.81,0.79,4.89
CMP-196748,AI-Powered,0.86,0.71,4.89
CMP-459223,AI-Powered,0.89,0.73,4.22
CMP-648301,AI-Powered,0.95,0.75,5.0
CMP-976249,Legacy,0.65,0.31,2.57
CMP-666908,AI-Powered,0.89,0.72,4.18
CMP-643008,Hybrid,0.67,0.62,3.79
CMP-798103,AI-Powered,0.91,0.72,4.27
CMP-192095,AI-Powered,0.85,0.73,4.16
CMP-148673,AI-Powered,0.87,0.78,4.59
CMP-305645,Legacy,0.67,0.5,2.65
CMP-274552,Hybrid,0.66,0.58,3.07
CMP-732875,AI-Powered,0.83,0.8,4.43
CMP-962335,Legacy,0.61,0.46,3.65
CMP-537367,AI-Powered,0.83,0.8,4.67
CMP-143570,Hybrid,0.78,0.53,4.16
CMP-345164,AI-Powered,0.81,0.81,4.62
CMP-140904,Hybrid,0.66,0.59,4.35
CMP-212449,Hybrid,0.74,0.59,3.72
CMP-117550,AI-Powered,0.75,0.78,4.07
CMP-395379,Legacy,0.58,0.42,2.33
CMP-197243,Hybrid,0.66,0.65,3.31
CMP-576528,Hybrid,0.67,0.6,4.11
CMP-764169,Hybrid,0.71,0.57,3.85
CMP-585268,Hybrid,0.71,0.56,3.62
CMP-743578,AI-Powered,0.87,0.81,3.87
CMP-325591,AI-Powered,0.87,0.75,4.27
CMP-511814,Legacy,0.5,0.41,1.67
CMP-927970,AI-Powered,0.89,0.76,4.02
CMP-900611,Hybrid,0.76,0.66,3.87
CMP-305110,Hybrid,0.62,0.62,4.07
CMP-713746,AI-Powered,0.85,0.7,4.44
CMP-741442,Hybrid,0.68,0.53,3.47
CMP-426685,AI-Powered,0.82,0.74,5.0
CMP-447034,Hybrid,0.76,0.56,4.29
CMP-177290,Hybrid,0.63,0.55,4.2
CMP-648262,Hybrid,0.61,0.63,3.26
CMP-924805,Legacy,0.4,0.47,3.69
CMP-819446,Legacy,0.61,0.34,2.95
CMP-875243,AI-Powered,0.85,0.78,4.59
CMP-963437,Hybrid,0.78,0.62,3.78
CMP-308429,Legacy,0.43,0.38,3.74
CMP-972186,Hybrid,0.66,0.56,3.64
CMP-336897,Hybrid,0.79,0.61,3.57
CMP-692409,Hybrid,0.72,0.66,4.19
CMP-879328,AI-Powered,0.9,0.78,4.81
CMP-248920,Legacy,0.4,0.48,2.53
CMP-704825,Hybrid,0.64,0.66,3.83
CMP-954167,Legacy,0.52,0.38,3.39
CMP-256161,AI-Powered,0.85,0.74,4.38
CMP-425245,Hybrid,0.72,0.6,3.67
CMP-787019,Hybrid,0.7,0.56,3.44
CMP-737697,AI-Powered,0.91,0.69,4.65
CMP-374872,Hybrid,0.71,0.48,4.15
CMP-346279,Hybrid,0.68,0.63,3.79
CMP-265268,AI-Powered,0.82,0.74,4.49
CMP-787463,Hybrid,0.69,0.57,3.18
CMP-133757,AI-Powered,0.9,0.77,4.58
CMP-648027,Legacy,0.49,0.48,2.39
CMP-588793,AI-Powered,0.79,0.75,5.0
CMP-257436,AI-Powered,0.8,0.75,4.76
CMP-436618,Hybrid,0.55,0.58,3.84
CMP-108071,Hybrid,0.62,0.54,3.91
CMP-669407,AI-Powered,0.93,0.8,4.15
CMP-233236,Legacy,0.5,0.4,2.79
CMP-208140,AI-Powered,0.88,0.77,5.0
CMP-639153,Hybrid,0.73,0.66,3.44
CMP-451694,Legacy,0.58,0.36,2.44
CMP-836490,Hybrid,0.68,0.39,3.57
CMP-355374,Legacy,0.39,0.41,3.19
CMP-882417,Hybrid,0.67,0.58,3.29
CMP-115340,Legacy,0.51,0.43,2.52
CMP-470352,AI-Powered,0.9,0.72,4.26
CMP-433962,AI-Powered,0.79,0.68,4.76
CMP-869488,Hybrid,0.75,0.67,4.35
CMP-340835,AI-Powered,0.81,0.72,4.55
CMP-343741,AI-Powered,0.86,0.79,4.43
CMP-456947,Hybrid,0.66,0.62,4.12
CMP-884170,AI-Powered,0.8,0.78,4.7
CMP-810671,AI-Powered,0.93,0.75,4.68
CMP-545199,AI-Powered,0.94,0.74,4.38
CMP-936974,Legacy,0.63,0.36,3.34
CMP-577974,AI-Powered,0.86,0.66,4.4
CMP-559875,Hybrid,0.81,0.63,3.62
CMP-906042,Hybrid,0.63,0.63,3.65
CMP-675154,Hybrid,0.76,0.55,3.49
CMP-463538,AI-Powered,0.86,0.65,4.35
CMP-276522,Legacy,0.55,0.32,2.61
CMP-490117,AI-Powered,0.88,0.72,4.85
CMP-645031,AI-Powered,0.9,0.72,4.38
CMP-338782,AI-Powered,0.86,0.85,4.49
CMP-273376,AI-Powered,0.81,0.75,4.46
CMP-768484,AI-Powered,0.93,0.71,4.07
CMP-272496,Hybrid,0.68,0.53,4.08
CMP-649115,AI-Powered,0.85,0.74,4.23
CMP-850213,AI-Powered,0.78,0.77,4.8
CMP-712164,Hybrid,0.69,0.66,4.01
CMP-306432,Hybrid,0.74,0.61,3.69
CMP-553016,AI-Powered,0.79,0.73,4.1
CMP-317104,Hybrid,0.7,0.65,3.72
CMP-451061,Legacy,0.43,0.38,2.49
CMP-265852,AI-Powered,0.84,0.73,4.16
CMP-582101,AI-Powered,0.79,0.59,4.54
CMP-760436,Hybrid,0.7,0.57,4.21
CMP-204710,AI-Powered,0.76,0.74,4.82
CMP-747783,AI-Powered,0.88,0.72,4.42
CMP-540542,Hybrid,0.64,0.6,3.3
CMP-160696,AI-Powered,0.88,0.79,4.19
CMP-238212,AI-Powered,0.95,0.7,4.27
CMP-990452,Legacy,0.44,0.3,2.88
CMP-209678,Hybrid,0.6,0.55,3.61
CMP-114548,AI-Powered,0.87,0.83,4.49
CMP-172431,AI-Powered,0.88,0.79,4.73
CMP-140215,AI-Powered,0.93,0.73,4.18
CMP-107471,AI-Powered,0.85,0.68,4.7
CMP-506039,AI-Powered,0.73,0.77,4.47
CMP-381415,Hybrid,0.76,0.63,3.67
CMP-926234,Hybrid,0.67,0.66,3.4
CMP-325311,AI-Powered,0.9,0.83,5.0
CMP-707869,Hybrid,0.79,0.6,3.79
CMP-171961,AI-Powered,0.89,0.77,4.16
CMP-860799,Hybrid,0.81,0.62,4.37
CMP-649911,Hybrid,0.76,0.55,3.85
CMP-489509,Hybrid,0.59,0.58,3.78
CMP-573286,AI-Powered,0.86,0.71,5.0
CMP-231382,Hybrid,0.63,0.51,3.63
CMP-414869,Hybrid,0.5,0.62,3.12
CMP-203030,AI-Powered,0.83,0.74,4.23
CMP-839433,AI-Powered,0.9,0.76,4.14
CMP-346695,Hybrid,0.69,0.61,4.14
CMP-469687,Hybrid,0.73,0.52,3.96
CMP-573270,Legacy,0.6,0.38,3.39
CMP-504400,Legacy,0.5,0.32,3.12
CMP-120282,AI-Powered,0.75,0.77,4.34
CMP-272822,Hybrid,0.81,0.6,4.38
CMP-402067,Legacy,0.73,0.37,2.29
CMP-526566,AI-Powered,0.88,0.79,4.96
CMP-602170,Hybrid,0.81,0.49,4.12
CMP-278811,Legacy,0.57,0.23,3.87
CMP-886301,Legacy,0.7,0.34,2.68
CMP-498291,AI-Powered,0.85,0.77,4.75
CMP-115476,AI-Powered,0.93,0.61,4.87
CMP-991354,Hybrid,0.69,0.51,3.87
CMP-480025,Hybrid,0.72,0.63,3.78
CMP-544222,Hybrid,0.61,0.7,3.38
CMP-440865,Hybrid,0.67,0.55,3.35
CMP-665801,Legacy,0.54,0.24,3.18
CMP-811421,Legacy,0.52,0.39,2.96
CMP-898643,AI-Powered,0.96,0.71,4.08
CMP-698131,Legacy,0.49,0.39,2.42
CMP-147624,Hybrid,0.74,0.61,3.8
CMP-717076,AI-Powered,0.94,0.77,4.16
CMP-493383,Legacy,0.5,0.31,3.19
CMP-432311,AI-Powered,0.73,0.76,5.0
CMP-586529,AI-Powered,0.91,0.62,4.35
CMP-238092,Hybrid,0.7,0.66,4.06
CMP-568868,AI-Powered,0.8,0.81,4.35
CMP-156005,Hybrid,0.7,0.51,3.64
CMP-767071,AI-Powered,0.77,0.58,3.8
CMP-188034,Hybrid,0.6,0.49,3.39
CMP-451609,AI-Powered,0.77,0.77,4.39
CMP-988332,Legacy,0.42,0.31,3.61
CMP-767514,AI-Powered,0.82,0.74,4.27
CMP-443000,AI-Powered,0.87,0.7,4.78
CMP-221039,Legacy,0.57,0.35,3.45
CMP-289260,Legacy,0.52,0.49,2.21
CMP-285873,AI-Powered,0.77,0.83,4.26
CMP-415463,Legacy,0.54,0.41,2.38
CMP-931526,AI-Powered,0.87,0.64,5.0
CMP-215228,AI-Powered,0.88,0.75,4.89
CMP-206526,AI-Powered,0.88,0.69,5.0
CMP-669457,Hybrid,0.78,0.58,3.92
CMP-756147,Hybrid,0.74,0.58,3.97
CMP-242242,Legacy,0.51,0.42,3.25
CMP-345078,AI-Powered,0.87,0.7,4.52
CMP-877857,Hybrid,0.8,0.6,3.92
CMP-827141,AI-Powered,0.75,0.75,4.4
CMP-393059,Legacy,0.59,0.44,2.25
CMP-809342,AI-Powered,0.79,0.89,4.07
CMP-954469,AI-Powered,0.85,0.71,4.4
CMP-189912,Hybrid,0.84,0.64,3.69
CMP-933315,Legacy,0.48,0.36,2.78
CMP-439111,Hybrid,0.72,0.71,4.41
CMP-531536,Hybrid,0.68,0.56,3.39
CMP-663960,AI-Powered,0.85,0.7,4.93
CMP-397985,Legacy,0.47,0.59,3.0
CMP-636610,Legacy,0.62,0.31,2.74
CMP-364921,Hybrid,0.71,0.63,4.01
CMP-836171,Hybrid,0.67,0.64,4.45
CMP-211083,Hybrid,0.77,0.56,3.04
CMP-714877,AI-Powered,0.95,0.72,5.0
CMP-176744,Legacy,0.43,0.49,2.79
CMP-592443,AI-Powered,0.89,0.72,4.55
CMP-970929,AI-Powered,0.93,0.71,4.5
CMP-264755,AI-Powered,0.75,0.69,4.21
CMP-919516,AI-Powered,0.83,0.69,4.65
CMP-854715,AI-Powered,0.85,0.82,4.73
CMP-536301,AI-Powered,0.92,0.68,4.17
CMP-740244,AI-Powered,0.89,0.82,4.61
CMP-931478,AI-Powered,0.87,0.77,4.19
CMP-511905,Legacy,0.59,0.41,2.93
CMP-525869,Hybrid,0.62,0.59,3.31
CMP-924941,Hybrid,0.78,0.66,4.28
CMP-766833,AI-Powered,0.87,0.8,4.62
CMP-345342,Hybrid,0.57,0.64,3.84
CMP-117733,AI-Powered,0.88,0.77,3.98
CMP-293575,Hybrid,0.7,0.47,3.91
CMP-531252,AI-Powered,0.79,0.78,4.65
CMP-266630,Hybrid,0.7,0.54,4.1
CMP-576362,Hybrid,0.69,0.62,4.11
CMP-829491,Hybrid,0.76,0.54,4.64
CMP-611358,AI-Powered,0.84,0.72,4.17
CMP-746344,Legacy,0.46,0.34,2.27
CMP-654845,Legacy,0.62,0.35,3.83
CMP-385214,Legacy,0.54,0.38,2.25
CMP-192439,AI-Powered,0.91,0.66,4.63
CMP-917245,Hybrid,0.75,0.6,3.41
CMP-907124,AI-Powered,0.78,0.77,4.52
CMP-676838,AI-Powered,0.78,0.81,4.52
CMP-623859,AI-Powered,0.86,0.76,4.8
CMP-104820,Hybrid,0.76,0.58,3.5
CMP-415558,AI-Powered,0.81,0.76,4.59
CMP-125010,Hybrid,0.61,0.65,3.84
CMP-949310,Legacy,0.45,0.46,3.49
CMP-819127,AI-Powered,0.84,0.77,4.58
CMP-648121,AI-Powered,0.9,0.71,4.78
CMP-695385,Hybrid,0.69,0.63,3.52
CMP-987957,AI-Powered,0.83,0.7,4.57
CMP-244348,AI-Powered,0.83,0.6,4.45
CMP-816046,Legacy,0.51,0.43,3.01
CMP-451734,Legacy,0.64,0.44,2.88
CMP-921702,Hybrid,0.77,0.53,3.61
CMP-569987,Hybrid,0.69,0.57,3.22
CMP-417670,AI-Powered,0.92,0.73,4.11
CMP-849655,AI-Powered,0.91,0.74,4.36
CMP-420726,AI-Powered,0.82,0.71,3.74
CMP-233423,AI-Powered,0.92,0.74,4.35
CMP-480781,Hybrid,0.76,0.67,3.78
CMP-279339,AI-Powered,0.87,0.77,4.51
CMP-206650,AI-Powered,0.87,0.79,4.32
CMP-937622,Hybrid,0.78,0.6,4.34
CMP-750059,AI-Powered,0.72,0.75,3.89
CMP-988899,Legacy,0.64,0.36,2.94
CMP-273463,AI-Powered,0.89,0.71,5.0
CMP-729372,Hybrid,0.74,0.61,3.16
CMP-325221,AI-Powered,0.79,0.83,3.84
CMP-211433,Hybrid,0.75,0.68,3.37
CMP-634683,AI-Powered,0.82,0.76,4.43
CMP-375103,AI-Powered,0.78,0.8,4.72
CMP-618729,Hybrid,0.76,0.67,3.42
CMP-303390,Hybrid,0.75,0.66,3.48
CMP-818440,AI-Powered,0.82,0.79,4.64
CMP-299240,Legacy,0.46,0.36,3.34
CMP-588407,AI-Powered,0.88,0.81,4.94
CMP-602945,Hybrid,0.75,0.56,4.11
CMP-838807,Legacy,0.52,0.35,3.14
CMP-564605,AI-Powered,0.86,0.73,4.79
